,incident_type,Incident_Year,Reported_Month,Region_of_Origin,Region_of_Incident,Number_of_Dead,Minimum_Estimated_Number_of_Missing,Number_of_Survivors,Number_of_Females,Number_of_Males,Number_of_Children,Cause_of_Death,Migration_Route,UNSD_Geographical_Grouping
8992,Incident,2021,July,Northern Africa,Mediterranean,5,0,0,0,0,0,1,Mediterranean Region,Uncategorized
8993,Incident,2021,July,Central America,North America,1,0,2,0,1,0,1,US-Mexico border crossing,Northern America
8994,Incident,2021,July,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
8995,Incident,2021,June,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
8996,Incident,2021,May,Central America,North America,1,0,1,0,1,0,1,US-Mexico border crossing,Northern America
9000,Incident,2021,June,Southern Asia,Europe,1,0,4,0,1,1,1,Western Balkans,Europe
9002,Incident,2021,June,Southern Asia,Europe,1,0,0,0,1,0,1,Western Balkans,Europe
9004,Incident,2021,July,Western Africa,Africa,10,0,1,0,3,0,1,Sahara Desert crossing,Africa
9005,Incident,2021,July,Central America,Central America,1,0,0,0,1,0,0,US-Mexico border crossing,Central America
9007,Incident,2021,July,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
9009,Incident,2021,July,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
9011,Incident,2021,July,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
9013,Incident,2021,April,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9014,Incident,2021,June,Central America,North America,1,0,0,1,0,0,1,US-Mexico border crossing,Northern America
9015,Incident,2021,June,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9018,Incident,2021,June,Central America,North America,2,0,0,0,2,0,1,US-Mexico border crossing,Northern America
9020,Incident,2021,July,Central America,North America,1,0,0,1,0,0,1,US-Mexico border crossing,Northern America
9021,Incident,2021,June,Central America,Central America,1,0,1,0,1,0,0,US-Mexico border crossing,Central America
9022,Incident,2021,July,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
9024,Incident,2021,June,Central America,Central America,1,0,0,0,1,0,0,US-Mexico border crossing,Central America
9025,Incident,2021,June,Central America,Central America,1,0,0,1,0,0,1,US-Mexico border crossing,Central America
9026,Incident,2021,July,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
9027,Incident,2021,July,Central America,North America,2,0,0,0,2,0,1,US-Mexico border crossing,Northern America
9029,Incident,2021,July,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9030,Incident,2021,July,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
9031,Incident,2021,July,Latin America / Caribbean,Central America,1,0,0,0,1,0,0,US-Mexico border crossing,Central America
9032,Incident,2021,June,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9034,Incident,2021,July,Central America,North America,1,0,1,0,1,0,1,US-Mexico border crossing,Northern America
9035,Incident,2021,August,Central America,North America,1,0,3,0,1,0,1,US-Mexico border crossing,Northern America
9036,Incident,2021,August,Sub-Saharan Africa,Mediterranean,12,0,23,2,8,2,1,Mediterranean Region,Uncategorized
9037,Incident,2021,August,Other / Unknown,Asia,4,0,0,0,4,0,0,EU Boarder,Asia
9038,Split Incident,2021,August,Central America,North America,10,0,30,0,1,0,0,US-Mexico border crossing,Northern America
9039,Incident,2021,July,Other / Unknown,Mediterranean,1,0,0,0,1,0,0,Mediterranean Region,Uncategorized
9040,Incident,2021,July,Northern Africa,Mediterranean,1,0,0,0,1,0,0,Mediterranean Region,Uncategorized
9041,Incident,2021,July,Northern Africa,Mediterranean,1,0,0,0,1,0,0,Mediterranean Region,Uncategorized
9042,Incident,2021,July,Other / Unknown,Mediterranean,1,0,0,0,1,0,0,Mediterranean Region,Uncategorized
9043,Incident,2021,August,Latin America / Caribbean,North America,3,0,8,0,1,0,0,US-Mexico border crossing,Northern America
9044,Incident,2021,August,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9045,Incident,2021,August,Central America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
9046,Incident,2021,July,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9047,Incident,2021,April,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
9048,Incident,2021,June,Central America,North America,1,0,0,1,0,0,1,US-Mexico border crossing,Northern America
9049,Incident,2021,June,Central America,North America,1,0,3,1,0,0,1,US-Mexico border crossing,Northern America
9050,Incident,2021,June,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9051,Incident,2021,June,Central America,North America,2,0,0,0,2,0,1,US-Mexico border crossing,Northern America
9053,Split Incident,2021,June,Central America,North America,3,0,7,0,0,0,0,US-Mexico border crossing,Northern America
9055,Incident,2021,August,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9061,Incident,2021,July,South America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
9062,Incident,2021,July,Central America,Central America,1,0,0,0,1,0,0,US-Mexico border crossing,Central America
9064,Incident,2021,August,Sub-Saharan Africa,Africa,1,12,30,1,0,0,1,Western Africa / Atlantic route to the Canary Islands,Uncategorized
9066,Split Incident,2021,August,Eastern Africa,Africa,3,15,40,1,2,0,1,Western Africa / Atlantic route to the Canary Islands,Uncategorized
9067,Incident,2021,August,Sub-Saharan Africa,Africa,1,13,0,1,0,0,1,Western Africa / Atlantic route to the Canary Islands,Uncategorized
9068,Incident,2021,August,Sub-Saharan Africa,Africa,12,30,10,30,4,8,1,Western Africa / Atlantic route to the Canary Islands,Uncategorized
9069,Incident,2021,August,Sub-Saharan Africa,Africa,3,44,7,10,37,3,1,Western Africa / Atlantic route to the Canary Islands,Uncategorized
9070,Incident,2021,August,Eastern Africa,Europe,1,0,35,0,1,0,1,EU Boarder,Uncategorized
9071,Incident,2021,August,Central America,North America,1,0,0,1,0,0,0,US-Mexico border crossing,Northern America
9074,Incident,2021,February,Sub-Saharan Africa,Mediterranean,2,0,0,0,0,0,1,Mediterranean Region,Uncategorized
9075,Incident,2021,February,Sub-Saharan Africa,Mediterranean,4,0,0,0,0,0,1,Mediterranean Region,Uncategorized
9076,Incident,2021,February,Sub-Saharan Africa,Mediterranean,1,0,0,0,0,0,1,Mediterranean Region,Uncategorized
9077,Incident,2021,July,Sub-Saharan Africa,Mediterranean,1,0,0,0,0,0,1,Mediterranean Region,Uncategorized
9078,Incident,2021,July,Sub-Saharan Africa,Mediterranean,1,0,0,0,0,0,1,Mediterranean Region,Uncategorized
9079,Incident,2021,July,Sub-Saharan Africa,Mediterranean,1,0,0,0,0,0,1,Mediterranean Region,Uncategorized
9080,Incident,2021,July,Sub-Saharan Africa,Mediterranean,1,0,0,0,0,0,1,Mediterranean Region,Uncategorized
9081,Incident,2021,August,Other / Unknown,Africa,1,0,0,0,1,0,0,Horn of Africa to Yemen crossing,Africa
9082,Incident,2021,August,Central America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
9083,Incident,2021,August,Caribbean,Central America,1,0,0,0,1,0,0,Other Routes,Central America
9085,Incident,2021,August,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9087,Incident,2021,August,Sub-Saharan Africa,Africa,2,50,1,16,2,1,1,Western Africa / Atlantic route to the Canary Islands,Uncategorized
9095,Split Incident,2021,August,Northern Africa,Mediterranean,1,16,48,1,16,2,1,Mediterranean Region,Uncategorized
9096,Incident,2021,August,Sub-Saharan Africa,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
9097,Incident,2021,August,Other / Unknown,Mediterranean,1,0,22,0,1,0,1,Mediterranean Region,Uncategorized
9098,Incident,2021,August,Other / Unknown,Mediterranean,8,0,0,0,0,0,1,Mediterranean Region,Uncategorized
9104,Incident,2021,August,South America,North America,1,0,1,1,0,0,1,US-Mexico border crossing,Northern America
9106,Incident,2021,August,Latin America / Caribbean,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
9108,Incident,2021,August,Western / Southern Asia,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
9109,Incident,2021,July,Sub-Saharan Africa,Mediterranean,12,0,20,0,0,0,1,Mediterranean Region,Uncategorized
9110,Split Incident,2021,July,Northern Africa,Mediterranean,5,0,0,0,5,0,1,Mediterranean Region,Uncategorized
9111,Incident,2021,August,Southern Asia,Mediterranean,2,0,0,0,2,0,1,Mediterranean Region,Uncategorized
9112,Incident,2021,August,Northern Africa,Africa,3,8,28,3,0,0,1,Western Africa / Atlantic route to the Canary Islands,Uncategorized
9113,Incident,2021,August,South America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
9114,Incident,2021,August,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9115,Incident,2021,August,Central America,North America,1,0,0,1,0,0,1,US-Mexico border crossing,Northern America
9116,Incident,2021,August,Latin America / Caribbean,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
9117,Incident,2021,August,Latin America / Caribbean,Central America,2,0,0,0,0,0,1,US-Mexico border crossing,Central America
9118,Incident,2021,August,Latin America / Caribbean,North America,2,0,0,0,0,0,1,US-Mexico border crossing,Northern America
9119,Incident,2021,August,Sub-Saharan Africa,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
9120,Incident,2021,August,Sub-Saharan Africa,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
9121,Incident,2021,August,Sub-Saharan Africa,Africa,2,0,0,0,0,0,0,Sahara Desert crossing,Africa
9122,Incident,2021,July,Northern Africa,Mediterranean,2,9,0,0,2,0,1,Mediterranean Region,Uncategorized
9123,Incident,2021,August,Northern Africa,Mediterranean,2,0,0,0,2,0,1,Mediterranean Region,Uncategorized
9124,Incident,2021,August,Sub-Saharan Africa,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
9125,Incident,2021,August,Sub-Saharan Africa,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
9126,Incident,2021,August,Northern Africa,Mediterranean,2,10,5,0,2,0,1,Mediterranean Region,Uncategorized
9127,Incident,2021,August,Western / Southern Asia,Mediterranean,7,0,0,0,7,0,1,Mediterranean Region,Uncategorized
9128,Incident,2021,August,Other / Unknown,Mediterranean,4,0,0,0,4,0,1,Mediterranean Region,Uncategorized
9129,Incident,2021,August,Western / Southern Asia,Mediterranean,12,0,45,0,0,0,1,Mediterranean Region,Uncategorized
9131,Incident,2021,August,Sub-Saharan Africa,Mediterranean,1,0,0,0,0,0,1,Mediterranean Region,Uncategorized
9133,Split Incident,2021,August,Other / Unknown,Africa,5,24,26,5,0,7,1,Western Africa / Atlantic route to the Canary Islands,Uncategorized
9134,Incident,2021,August,Western Africa,Africa,3,35,20,1,1,0,1,Western Africa / Atlantic route to the Canary Islands,Uncategorized
9135,Incident,2021,August,Sub-Saharan Africa,Mediterranean,1,0,0,0,0,0,1,Mediterranean Region,Uncategorized
9136,Split Incident,2021,August,Northern Africa,Mediterranean,2,0,0,0,2,0,1,Mediterranean Region,Uncategorized
9138,Incident,2021,August,Northern Africa,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
9140,Incident,2021,June,Northern Africa,Mediterranean,1,0,0,0,1,1,1,Mediterranean Region,Uncategorized
9141,Incident,2021,August,Northern Africa,Africa,2,9,31,0,0,0,1,Western Africa / Atlantic route to the Canary Islands,Uncategorized
9142,Incident,2021,August,Southern Asia,Asia,1,0,0,0,0,0,1,EU Boarder,Asia
9143,Incident,2021,August,Other / Unknown,Asia,3,0,0,0,0,0,1,EU Boarder,Asia
9144,Incident,2021,June,Northern Africa,Mediterranean,3,14,0,0,0,0,1,Mediterranean Region,Uncategorized
9146,Incident,2021,August,Eastern Africa,Africa,1,0,0,0,1,0,1,Horn of Africa to Yemen crossing,Africa
9147,Incident,2021,August,Eastern Africa,Africa,1,0,0,1,0,1,0,Horn of Africa to Yemen crossing,Africa
9148,Incident,2021,July,Northern Africa,Mediterranean,1,0,0,0,1,0,0,Mediterranean Region,Uncategorized
9149,Incident,2021,March,Sub-Saharan Africa,Africa,3,0,9,1,0,1,1,Western Africa / Atlantic route to the Canary Islands,Uncategorized
9150,Incident,2021,August,Northern Africa,Europe,1,0,0,0,1,0,0,Western Balkans,Europe
9151,Incident,2021,September,Northern Africa,Mediterranean,1,0,1,0,1,0,1,Mediterranean Region,Uncategorized
9154,Incident,2021,September,Central America,North America,1,0,0,1,0,0,1,US-Mexico border crossing,Northern America
9155,Incident,2021,August,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9156,Incident,2021,September,Central America,North America,1,0,0,1,0,0,0,US-Mexico border crossing,Northern America
9158,Incident,2021,September,Sub-Saharan Africa,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
9159,Incident,2021,August,Sub-Saharan Africa,Africa,5,0,0,0,5,0,1,Sahara Desert crossing,Africa
9162,Incident,2021,August,Northern Africa,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
9163,Incident,2021,September,Northern Africa,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
9164,Incident,2021,September,Sub-Saharan Africa,Mediterranean,2,0,20,2,0,0,1,Mediterranean Region,Uncategorized
9166,Split Incident,2021,August,Sub-Saharan Africa,Africa,36,50,0,58,0,12,1,Western Africa / Atlantic route to the Canary Islands,Uncategorized
9167,Incident,2021,August,Sub-Saharan Africa,Mediterranean,1,0,0,1,0,0,1,Mediterranean Region,Uncategorized
9168,Incident,2021,September,Northern Africa,Mediterranean,2,6,12,0,2,0,1,Mediterranean Region,Uncategorized
9170,Incident,2021,September,Northern Africa,Europe,1,0,0,0,1,0,0,Western Balkans,Europe
9173,Incident,2021,August,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
9174,Incident,2021,August,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
9175,Incident,2021,August,Central America,North America,1,0,0,1,0,0,1,US-Mexico border crossing,Northern America
9176,Incident,2021,May,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9179,Incident,2021,July,Central America,North America,2,0,0,0,2,0,0,US-Mexico border crossing,Northern America
9180,Incident,2021,August,South America,North America,2,0,1,2,0,1,1,US-Mexico border crossing,Northern America
9181,Incident,2021,August,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9183,Incident,2021,September,South America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
9185,Incident,2021,August,South America,Central America,1,0,2,1,0,0,1,US-Mexico border crossing,Central America
9186,Incident,2021,September,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9187,Incident,2021,September,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
9188,Incident,2021,August,Central America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
9189,Incident,2021,September,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
9193,Incident,2021,September,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9194,Incident,2021,September,Central America,North America,1,0,0,1,0,0,0,US-Mexico border crossing,Northern America
9197,Incident,2021,July,Latin America / Caribbean,Central America,1,0,0,0,1,0,0,US-Mexico border crossing,Central America
9200,Incident,2021,September,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9201,Incident,2021,September,Western / Southern Asia,Europe,1,0,0,0,1,0,1,EU Boarder,Europe
9202,Incident,2021,September,Western / Southern Asia,Europe,1,0,0,1,0,0,1,EU Boarder,Europe
9203,Incident,2021,August,Southern Asia,Europe,1,0,0,0,1,1,0,Other Routes,Europe
9204,Incident,2021,September,Eastern Africa,Mediterranean,1,0,105,1,0,0,1,Mediterranean Region,Uncategorized
9205,Incident,2021,September,Northern Africa,Mediterranean,1,13,1,0,1,0,1,Mediterranean Region,Uncategorized
9206,Split Incident,2021,September,Northern Africa,Mediterranean,8,0,0,3,5,1,1,Mediterranean Region,Uncategorized
9207,Incident,2021,August,Central America,Central America,1,0,327,0,1,1,0,US-Mexico border crossing,Central America
9208,Incident,2021,September,Western / Southern Asia,Europe,1,0,0,0,1,0,1,EU Boarder,Europe
9209,Incident,2021,September,Northern Africa,Africa,6,8,14,0,0,0,1,Sahara Desert crossing,Africa
9210,Incident,2021,September,Northern Africa,Mediterranean,1,0,1,0,1,0,1,Mediterranean Region,Uncategorized
9211,Incident,2021,July,Other / Unknown,Africa,1,0,32,1,0,0,1,Western Africa / Atlantic route to the Canary Islands,Uncategorized
9212,Incident,2021,August,Other / Unknown,Asia,1,0,0,0,1,0,1,EU Boarder,Asia
9213,Incident,2021,September,Other / Unknown,Asia,1,0,0,0,1,0,1,EU Boarder,Asia
9214,Incident,2021,September,Other / Unknown,Asia,1,0,0,0,1,0,1,EU Boarder,Asia
9215,Incident,2021,September,Northern Africa,Europe,1,0,0,0,1,1,0,EU Boarder,Europe
9216,Incident,2021,September,Eastern Africa,Europe,1,0,0,0,1,0,1,Western Balkans,Europe
9217,Incident,2021,September,Other / Unknown,Mediterranean,1,1,1,1,0,0,1,Mediterranean Region,Uncategorized
9219,Incident,2021,September,Sub-Saharan Africa,Africa,15,42,5,28,18,12,1,Western Africa / Atlantic route to the Canary Islands,Uncategorized
9220,Split Incident,2021,October,Other / Unknown,Mediterranean,3,38,43,2,1,1,1,Mediterranean Region,Uncategorized
9221,Incident,2021,September,Northern Africa,Africa,4,0,0,0,0,0,1,Sahara Desert crossing,Africa
9222,Incident,2021,October,Northern Africa,Mediterranean,3,0,17,0,0,1,1,Mediterranean Region,Uncategorized
9223,Incident,2021,October,Sub-Saharan Africa,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
9226,Incident,2021,September,Southern Asia,Europe,1,0,0,0,1,0,0,Western Balkans,Europe
9227,Incident,2021,September,Northern Africa,Europe,1,0,0,0,1,0,0,Western Balkans,Europe
9229,Incident,2021,September,Caribbean,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
9230,Incident,2021,October,Northern Africa,Mediterranean,1,2,14,0,0,0,1,Mediterranean Region,Uncategorized
9232,Incident,2021,September,Central America,North America,1,0,0,0,0,1,1,US-Mexico border crossing,Northern America
9237,Incident,2021,September,Central America,North America,1,0,0,1,0,1,1,US-Mexico border crossing,Northern America
9238,Incident,2021,September,Caribbean,Central America,1,0,0,0,1,0,1,Other Routes,Central America
9239,Incident,2021,September,South America,North America,1,0,9,1,0,0,0,US-Mexico border crossing,Northern America
9240,Incident,2021,September,Latin America / Caribbean,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
9241,Incident,2021,September,Central America,North America,3,0,0,0,3,0,0,US-Mexico border crossing,Northern America
9242,Incident,2021,September,Caribbean,Central America,1,0,0,1,0,0,1,US-Mexico border crossing,Central America
9244,Incident,2021,September,Central America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
9245,Incident,2021,September,Central America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
9246,Incident,2021,September,Latin America / Caribbean,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
9248,Incident,2021,September,Central America,Central America,1,0,0,1,0,1,0,US-Mexico border crossing,Central America
9249,Incident,2021,September,Latin America / Caribbean,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
9260,Incident,2021,September,Caribbean,Central America,9,0,0,0,0,0,1,Other Routes,Central America
9261,Incident,2021,September,Caribbean,Central America,3,0,0,0,0,0,1,Other Routes,Central America
9264,Split Incident,2021,October,Sub-Saharan Africa,Mediterranean,15,0,94,0,15,0,1,Mediterranean Region,Uncategorized
9265,Split Incident,2021,October,Caribbean,South America,3,6,21,3,0,3,1,Other Routes,Uncategorized
9266,Incident,2021,October,Sub-Saharan Africa,Mediterranean,1,0,0,0,0,0,1,Mediterranean Region,Uncategorized
9269,Split Incident,2021,March,Northern Africa,Europe,3,0,0,0,3,0,1,EU Boarder,Europe
9272,Cumulative Incident,2021,October,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
9273,Cumulative Incident,2021,June,Latin America / Caribbean,North America,13,0,0,0,0,0,0,US-Mexico border crossing,Northern America
9274,Cumulative Incident,2021,May,Latin America / Caribbean,North America,34,0,0,0,0,0,0,US-Mexico border crossing,Northern America
9275,Cumulative Incident,2021,October,Latin America / Caribbean,North America,43,0,0,0,0,0,0,US-Mexico border crossing,Northern America
9276,Cumulative Incident,2021,August,Latin America / Caribbean,North America,37,0,0,0,0,0,0,US-Mexico border crossing,Northern America
9277,Cumulative Incident,2021,July,Latin America / Caribbean,North America,6,0,0,0,0,0,0,US-Mexico border crossing,Northern America
9278,Incident,2021,October,Other / Unknown,Mediterranean,1,0,0,0,1,0,0,Mediterranean Region,Uncategorized
9280,Incident,2021,October,Southern Asia,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
9281,Incident,2021,September,Western / Southern Asia,Asia,1,0,0,0,1,0,1,EU Boarder,Asia
9282,Incident,2021,September,Northern Africa,Africa,3,27,0,1,16,10,1,Western Africa / Atlantic route to the Canary Islands,Uncategorized
9283,Incident,2021,October,Northern Africa,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
9284,Incident,2021,October,Northern Africa,Mediterranean,4,0,13,0,0,0,1,Mediterranean Region,Uncategorized
9285,Incident,2021,October,Northern Africa,Africa,1,0,44,0,1,0,1,Western Africa / Atlantic route to the Canary Islands,Uncategorized
9287,Incident,2021,October,Northern Africa,Mediterranean,8,17,3,1,1,1,1,Mediterranean Region,Uncategorized
9288,Incident,2021,October,Western / Southern Asia,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
9290,Incident,2021,October,Northern Africa,Mediterranean,5,18,7,0,2,2,1,Mediterranean Region,Uncategorized
9291,Incident,2021,October,Southern Asia,Asia,2,0,0,0,0,0,0,Afghanistan to Iran,Asia
9297,Incident,2021,October,Central America,North America,1,0,0,1,0,0,1,US-Mexico border crossing,Northern America
9298,Incident,2021,October,Central America,Central America,1,0,0,0,1,0,0,US-Mexico border crossing,Central America
9299,Incident,2021,October,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
9301,Incident,2021,October,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
9303,Incident,2021,October,Other / Unknown,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
9304,Incident,2021,September,Western / Southern Asia,Europe,1,0,0,0,1,1,1,EU Boarder,Europe
9305,Incident,2021,August,Sub-Saharan Africa,Mediterranean,12,0,0,0,0,0,1,Mediterranean Region,Uncategorized
9306,Incident,2021,August,Sub-Saharan Africa,Mediterranean,1,0,0,0,0,0,1,Mediterranean Region,Uncategorized
9307,Incident,2021,August,Sub-Saharan Africa,Mediterranean,1,0,0,0,0,0,1,Mediterranean Region,Uncategorized
9308,Incident,2021,August,Sub-Saharan Africa,Mediterranean,5,0,0,3,0,2,1,Mediterranean Region,Uncategorized
9309,Incident,2021,August,Sub-Saharan Africa,Mediterranean,3,0,0,0,0,0,1,Mediterranean Region,Uncategorized
9311,Incident,2021,October,Other / Unknown,Africa,1,0,50,0,0,1,1,Western Africa / Atlantic route to the Canary Islands,Europe
9312,Incident,2021,October,Other / Unknown,Africa,1,7,51,2,2,5,1,Western Africa / Atlantic route to the Canary Islands,Europe
9314,Incident,2021,October,Northern Africa,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
9315,Split Incident,2021,October,Other / Unknown,Europe,2,0,0,0,1,1,0,Western Balkans,Europe
9316,Incident,2021,October,Southern Asia,Europe,1,0,0,0,0,0,0,Western Balkans,Europe
9317,Incident,2021,September,Western / Southern Asia,Europe,1,0,0,0,1,0,0,Western Balkans,Europe
9318,Incident,2021,October,Other / Unknown,Asia,2,0,0,0,2,0,1,EU Boarder,Asia
9319,Incident,2021,October,Eastern Africa,Mediterranean,4,1,22,4,0,3,1,Mediterranean Region,Uncategorized
9324,Incident,2021,September,South America,North America,1,0,0,1,0,0,1,US-Mexico border crossing,Northern America
9325,Incident,2021,September,South America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9327,Incident,2021,October,Central America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
9329,Incident,2021,November,Sub-Saharan Africa,Africa,1,0,48,0,0,0,1,Western Africa / Atlantic route to the Canary Islands,Uncategorized
9330,Incident,2021,October,Central America,North America,4,0,11,0,4,0,0,US-Mexico border crossing,Northern America
9331,Incident,2021,October,Central America,North America,1,0,36,1,0,0,1,US-Mexico border crossing,Northern America
9333,Incident,2021,October,Central America,North America,1,0,2,0,1,0,1,US-Mexico border crossing,Northern America
9335,Incident,2021,November,Sub-Saharan Africa,Africa,1,0,0,1,0,0,0,Western Africa / Atlantic route to the Canary Islands,Uncategorized
9338,Incident,2021,October,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
9339,Incident,2021,October,Other / Unknown,Central America,1,0,0,0,0,0,0,US-Mexico border crossing,Central America
9340,Incident,2021,October,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9341,Incident,2021,October,Western / Southern Asia,Europe,1,0,0,0,1,0,1,EU Boarder,Europe
9342,Incident,2021,October,Other / Unknown,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
9343,Incident,2021,November,Other / Unknown,Europe,1,1,40,0,1,0,1,EU Boarder,Europe
9345,Incident,2021,November,Other / Unknown,Europe,1,0,2,0,1,0,0,EU Boarder,Europe
9349,Incident,2021,November,Eastern Africa,Europe,1,0,3,0,0,0,0,EU Boarder,Europe
9350,Incident,2021,October,Caribbean,Central America,2,0,0,2,0,0,1,Other Routes,Central America
9351,Incident,2021,October,Caribbean,Caribbean,2,0,6,0,2,0,1,Other Routes,Caribbean
9353,Incident,2021,November,Caribbean,Central America,1,0,0,0,0,0,1,US-Mexico border crossing,Northern America
9354,Incident,2021,June,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9355,Incident,2021,June,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9356,Incident,2021,June,Central America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
9357,Incident,2021,June,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9358,Incident,2021,June,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9359,Incident,2021,June,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9360,Incident,2021,June,Central America,North America,1,0,0,1,0,0,0,US-Mexico border crossing,Northern America
9361,Incident,2021,June,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9362,Incident,2021,June,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9363,Incident,2021,June,Latin America / Caribbean,North America,1,0,0,1,0,0,0,US-Mexico border crossing,Northern America
9364,Incident,2021,June,Central America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
9365,Incident,2021,June,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9366,Incident,2021,June,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9367,Incident,2021,June,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
9368,Incident,2021,June,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
9369,Incident,2021,June,Central America,North America,1,0,0,1,0,0,1,US-Mexico border crossing,Northern America
